ORD003,HOPIK,pants,2,1600
ORD004,subodh,shirt,1,500
ORD005,subodh,shirt,1,900
ORD005,subodh,t-shirt,1,900
ORD007,oppslid,hoodie,9,9000
ORD008,subodh,shirt,1,500
ORD009,yopi,shirt,1,500
ORD010,hopi,shirt,1,500
ORD011,topi,shirt,1,500
ORD012,lodi,shirt,1,500
ORD013,coco,pants,1,800
ORD014,coco,t-shirt,1,400
ORD015, subodh ,shirt,1,500
ORD016,subodh ,shirt,3,1500
ORD017,leon,pants,3,2400
ORD018,xxx,shirt,5,2500
ORD019,vvv,shirt,7,3500
ORD020,xxxxx,shirt,5,2500
ORD021,cvx ,shirt,5,2500
ORD022,xcv,shirt,5,2500
ORD024,vfg,shirt,7,3500
ORD025,fuck,shirt,1,500
ORD028,Subodh,shirt,1,500
ORD029,xxx,shirt,1,500
ORD030,subodh,shirt,1,1500
ORD030,subodh,hoodie,1,1500
ORD031,xcv,shirt,1,500
ORD032,subodh,shirt,1,500
ORD034,hari,shirt,1,500
ORD035,subodhi,shirt,1,500
ORD036,rama,shirt,1,5500
ORD036,rama,hoodie,1,5500
ORD036,rama,pants,5,5500
ORD037,somal,shirt,1,2300
ORD037,somal,pants,1,2300
ORD037,somal,hoodie,1,2300
ORD038,kendry,shirt,1,1300
ORD038,kendry,pants,1,1300
ORD039,nns,hoodie,1,1000
